VARIAN_NAME,FRAGRANT,FORMULA,AQUADEST,ALKOHOL,GENDER,JENIS,UKURAN,HARGA
VERBENA CHERRY BLOOM,FRENCH RIVIERA,3.07,10.0,86.93,CEWE,BM,250.0,150000
BONJOUR BACK IN RED,ROUGH BACCA,15.63,10.0,74.37,CEWE,BM,100.0,150000
BONJOUR ONLY YOU,FOREVER YOUNG,24.8,10.0,65.2,CEWE,BM,100.0,125000
BONJOUR FOREVER MUSK,SWEET BABY ,17.31,10.0,72.69,CEWE,BM,100.0,147500
BURGUNDY IMPERATIVE,LEONA,28.0,10.0,62.0,CEWE,EDP,100.0,250000
BURGUNDY NUIT INTENSE,NIGHT CLUB IRISH,36.63,10.0,53.37,UNISEX,EDP,100.0,175000
BURGUNDY LYLAC,TARINA,25.42,10.0,64.58,CEWE,EDP,100.0,195000
BURGUNDY BEROCCA,ROUGH BACCA,23.36,10.0,66.64,UNISEX,EDP,100.0,195000
BURGUNDY SEXY ROSE,PETALS IN SAND,35.71,10.0,54.29,CEWE,EDP,100.0,197500
BURGUNDY LA VIE ROSE,SUPER BOWL,27.78,10.0,62.22,CEWE,EDP,100.0,195000
BURGUNDY VIRTUOUS,EXHILARANT,32.26,10.0,57.74,UNISEX,EDP,100.0,187500
BURGUNDY STRONGER FOR YOU,MY KNIGHT,17.86,10.0,72.14,UNISEX,EDP,100.0,240000
VERBENA VIOLET VONCE,LOVELY ROSE,20.0,10.0,70.0,CEWE,EDT,100.0,100000
VERBENA VANILLA CREAMY,BIG HUGS,4.17,10.0,85.83,CEWE,EDT,100.0,125000
MYKONOS SLOW LIVING,GOLDEN CELESTIAL,9.57,5.0,85.43,UNISEX,EDT,50.0,129000
VLOWLESS LIBRE D FLORAL,LIBRARY OF LOVE,27.78,5.0,67.22,CEWE,EDP,50.0,131000
VLOWLESS PURE DPOISON,PURE HEART,6.67,5.0,88.33,CEWE,EDT,50.0,131000
VLOWLESS SPORT D BLACK,SPORT ALLURING,17.65,5.0,77.35,COWO,EDP,50.0,131000
VLOWLESS  CANDY ADDICT,CANDY STYLE,8.39,10.0,81.61,CEWE,BM,250.0,93500
VLOWLESS CANDY BLOOM,BLOOMING CHARM,6.69,10.0,83.31,CEWE,BM,250.0,93500
VLOWLESS LOVE ADDICT,NOCTURNE,10.33,10.0,79.67,CEWE,BM,250.0,93500
VLOWLESS STARDUST,LOVE ENTHUSIAST,5.08,10.0,84.92,CEWE,BM,250.0,93500
REALMAN PURE ORIENTAL,DE ORCHID,4.3,10.0,85.7,COWO,EDT,100.0,90000
REALMAN PURE SPICY,AGGRESSIVE BOY,4.55,10.0,85.45,COWO,EDT,100.0,90000
REALMAN PURE COLOGNE,WINNER,9.87,10.0,80.13,COWO,EDT,100.0,90000
HMNS AMBAR,AMBAR,15.0,0.0,85.0,UNISEX,EDP,50.0,255000
HMNS JANMA,JANMA,15.0,0.0,85.0,UNISEX,EDP,50.0,255000
BONJOUR ELEGANT,ALEJANDRO,14.72,10.0,75.28,COWO,EDP,100.0,138600
BONJOUR BLUE CIRCLE,ACTIVE DESIRE,17.83,10.0,72.17,COWO,EDP,100.0,133875
BONJOUR QUANTUM,BLUE SEDUCE,19.61,10.0,70.39,COWO,EDP,100.0,247500
